"","gender","height","weight"
"1","Female",176,65
"2","Male",170,150
"3","Male",170,65
"4","Male",175,67
"5","Female",165,50
"6","Female",166,58
"7","Male",175,64
"8","Female",167,55
"9","Female",155,60
"10","Male",175,50
"11","Female",175,60
"12","Male",182,72
"13","Female",164,115
"14","Female",172,52
"15","Female",162,60
"16","Female",167,120
"17","Male",180,75
"18","Female",168,60
"19","Male",179,75
"20","Female",165,48
"21","Male",184,70
"22","Female",168,54
"23","Male",167,72
"24","Male",180,96
"25","Male",179,73
"26","Male",188,63
"27","Female",170,55
"28","Male",181,85
"29","Male",168,63
"30","Male",175,85
"31","Female",163,49
"32","Male",183,75
"33","Male",178,73
"34","Male",NA,NA
"35","Female",156,62
"36","Male",183,155
"37","Male",183,68
"38","Female",174,57
"39","Female",160,59
"40","Female",165,48
"41","Male",176,140
"42","Male",170,54
"43","Female",160,50
"44","Male",180,88
"45","Male",180,64
"46","Male",170,55
"47","Female",162,92
"48","Male",178,60
"49","Male",178,63
"50","Male",198,110
"51","Male",180,96
"52","Male",185,66
"53","Male",172,100
"54","Female",160,44
"55","Male",180,89
"56","Female",168,49
"57","Female",165,52
"58","Female",160,55
"59","Female",160.2,75
"60","Female",164,74
"61","Female",165,50
"62","Female",163,52
"63","Female",160,48
"64","Male",175,60
"65","Male",180,70
"66","Female",163,120
"67","Male",183,66
"68","Male",180,70
"69","Female",160,50
"70","Male",171,65
"71","Male",173,59
"72","Female",NA,NA
"73","Male",177,67
"74","Male",175,85
"75","Male",178,77
"76","Female",159,53
"77","Female",169,55
"78","Female",165,50
"79","Male",170,62
"80","Male",170,65
"81","Male",180,80
"82","Male",184,85
"83","Female",166,53
"84","Female",167,66.5
"85","Female",165,51
"86","Female",168,114
"87","Female",159,70
"88","Female",169,56
"89","Female",171,55
"90","Female",171,56
"91","Female",182,71
"92","Female",163,48
"93","Male",180,64
"94","Male",168,61
"95","Female",160,115
"96","Male",172,71
"97","Male",175,58
"98","Male",187,90
"99","Male",175,60
"100","Male",166,67
"101","Female",165,112
"102","Female",NA,59
"103","Female",162,45
"104","Female",165,112
"105","Male",175,69
"106","Female",171,62
"107","Male",175,68
"108","Male",180,80
"109","Male",175,95
"110","Female",167,106
"111","Female",158,64
"112","Female",169,NA
"113","Male",173,75
"114","Male",179,74
"115","Female",155,45
"116","Female",162,40
"117","Female",168,60
"118","Female",156,43
"119","Male",174,50
"120","Male",177,55
"121","Male",178,77
"122","Male",180,72
"123","Female",169,60
"124","Female",167,50
"125","Female",167,60
"126","Female",164,64
"127","Male",176,80
"128","Female",162,52
"129","Female",165,62
"130","Female",165,55
"131","Female",160,48
"132","Female",168,130
"133","Female",155,48
"134","Female",165,108
"135","Female",168,70
"136","Female",171,63
"137","Female",167,48
"138","Male",185,75
"139","Female",165,52
"140","Female",160,46
"141","Female",160,61
"142","Male",175,90
"143","Male",173,61
"144","Male",185,70
"145","Male",171,59
"146","Female",163,70
"147","Male",188,68
"148","Male",183,166
"149","Female",163,48
"150","Female",158,57
"151","Female",160,52
"152","Female",159,40
"153","Male",175,71
"154","Male",174,60
"155","Female",158,50
"156","Male",186,64
"157","Male",170,70
"158","Female",163,48
"159","Female",168,80
"160","Female",165,55
"161","Female",172,54
"162","Male",172,62
"163","Female",161,48
"164","Female",165,53
"165","Female",170,57
"166","",200,NA
"167","Female",162,120
"168","Female",176,88
"169","Female",168,54
"170","Female",161,45
"171","Male",174,70
"172","Female",163,60
"173","Female",165,53
"174","Female",159,52
"175","Male",188,77
"176","Female",158,93
"177","Female",163,49
"178","Female",165,55
"179","Female",160,51
"180","Female",170,70
"181","Female",165,50
"182","Female",152,48
"183","Female",170,52
"184","Female",150,43
"185","Male",185,75
"186","Female",170,70
"187","Female",168,105
"188","Female",162,62
"189","Male",176,60
"190","Female",170,55
"191","Female",161,60
"192","Male",178,68
"193","Male",177,85
"194","Female",162,60
"195","Male",183,85
"196","Male",175,73
"197","Male",189,80
"198","Female",178,65
"199","Male",180,62
"200","Female",170,71
"201","Female",161,50
"202","Male",173,63
"203","Male",174,64
"204","Female",164,58
"205","Male",178,60
"206","Male",172,75
"207","Female",160,50
"208","Male",178,98
"209","Female",159,58
"210","Female",166,54
"211","Female",169,65
"212","Male",188,90
"213","Female",165,50
"214","Female",167,62
"215","Female",165,58
"216","Male",174,60
"217","Female",170,56
"218","Female",160,43
"219","Male",175,60
"220","Female",158,48
"221","Female",165,64
"222","Female",168,48
"223","Female",159,46
"224","Female",168,104
"225","Female",161,49
"226","Female",163,100
"227","Female",156,48
"228","Male",170,65
"229","Male",171,80
"230","Male",190,65
"231","Female",158,46
"232","Male",180,70
"233","Female",168,82
"234","Male",190,89
"235","Male",179,67
"236","Male",189,84
"237","Female",162,49
"238","Female",173,55
"239","Female",163.83,72
"240","Female",173,65
"241","Male",172,80
"242","Male",180,75
"243","Female",163.5,75
"244","Male",176,71
"245","Male",181,66
"246","Male",182,55
"247","Male",170,65
"248","Male",186,91
"249","Female",165,62
"250","Female",163,56
"251","Female",162,55
"252","Male",175,75
"253","Female",155,60
"254","Female",180,60
"255","Male",170,55
"256","Male",180,100
"257","Male",173,83
"258","Male",168,62
"259","Female",160,47
"260","Female",165,57
"261","Female",160,44
"262","Female",165,60
"263","Female",173,58
"264","Male",165,54
"265","Female",160,53
"266","Female",168,57
"267","Female",159,53
